product,Q_fern_vs_pre,Q_post_vs_fern,P_fern_vs_pre,P_post_vs_fern
REGUP,0.2819503959046432,-0.26730331702200594,0.804645758026608,-0.1809262257049853
REGDN,0.3355503685920296,-0.1384564936191428,0.5236486430101581,-0.13595945544589982
RRSPF,0.34960330542356544,-0.18246594975886632,1.2518661533436028,-0.21552970978371555
ECRSS,0.08857858835447119,-0.1690277062887071,0.9857694197348161,-0.08141260083766944
NSPIN,0.038336756993649024,-0.1533012510963523,1.0915687898733908,-0.025062192724675803
RRSFF,0.059473323557881264,0.07426547755407586,-0.007504553958192162,0.04698501869355187
