ts_start,AncillaryType,Q,PxQ,n_blocks,any_dst,P_vwap,window
2026-01-21 06:00:00,RRSFF,403.1,503734.45,4,N,1249.6513272140908,pre
2026-01-21 06:00:00,RRSPF,1410239.9,124477270.45099999,211,N,88.2667342279849,pre
2026-01-21 06:00:00,RRSUF,1710.3,3690.6899999999996,2,N,2.1579196632169793,pre
2026-01-21 07:00:00,ECRSM,293.70000000000005,1.6340000000000001,2,N,0.0055635001702417424,pre
2026-01-21 07:00:00,ECRSS,1596027.3,143666023.125,251,N,90.01476548991361,pre
2026-01-21 07:00:00,NSPIN,1520706.4,167857530.695,195,N,110.38128773246433,pre
2026-01-21 07:00:00,NSPNM,379.8,350.456,3,N,0.9227382833070037,pre
2026-01-21 07:00:00,REGDN,842659.2,124512101.84200001,255,N,147.76092380169825,pre
2026-01-21 07:00:00,REGUP,1052631.3,101795799.476,280,N,96.7060351292993,pre
2026-01-21 07:00:00,RRSFF,403.1,504168.277,4,N,1250.7275539568345,pre
2026-01-21 07:00:00,RRSPF,1777692.5,132256192.101,274,N,74.39767682037248,pre
2026-01-21 07:00:00,RRSUF,1640.1,3539.76,2,N,2.158258642765685,pre
2026-01-21 08:00:00,ECRSM,303.5,1.683,2,N,0.005545304777594728,pre
2026-01-21 08:00:00,ECRSS,793547.7,118412634.531,152,N,149.21930279805488,pre
2026-01-21 08:00:00,NSPIN,1043893.9,152671165.97,142,N,146.2516123238195,pre
2026-01-21 08:00:00,NSPNM,379.8,337.40000000000003,3,N,0.8883622959452344,pre
2026-01-21 08:00:00,REGDN,606890.9,95009167.517,239,N,156.5506543548437,pre
2026-01-21 08:00:00,REGUP,680163.4,87248532.48099999,211,N,128.27584148309066,pre
2026-01-21 08:00:00,RRSFF,196.39999999999998,315799.614,3,N,1607.9410081466397,pre
2026-01-21 08:00:00,RRSPF,1326836.5,115768041.174,208,N,87.25117312796263,pre
2026-01-21 08:00:00,RRSUF,1639.5,3538.47,2,N,2.1582616651418114,pre
2026-01-21 09:00:00,ECRSM,303.5,1.683,2,N,0.005545304777594728,pre
2026-01-21 09:00:00,ECRSS,763014.5,217342910.53800002,132,N,284.8476805329388,pre
2026-01-21 09:00:00,NSPIN,871061.8,253239946.448,118,N,290.72557934236124,pre
2026-01-21 09:00:00,NSPNM,379.8,323.528,3,N,0.8518378093733544,pre
2026-01-21 09:00:00,REGDN,458756.39999999997,87575131.847,220,N,190.89680677370387,pre
2026-01-21 09:00:00,REGUP,548695.0,141210476.224,197,N,257.3569582810122,pre
2026-01-21 09:00:00,RRSFF,196.39999999999998,315799.614,3,N,1607.9410081466397,pre
2026-01-21 09:00:00,RRSPF,920436.5,178729713.653,187,N,194.17929824925457,pre
2026-01-21 09:00:00,RRSUF,1639.1,3537.61,2,N,2.158263681288512,pre
2026-01-21 10:00:00,ECRSM,311.1,1.721,2,N,0.0055319832851173254,pre
2026-01-21 10:00:00,ECRSS,773245.2999999999,216598412.882,130,N,280.11604193649805,pre
2026-01-21 10:00:00,NSPIN,835507.8,264518971.658,110,N,316.5966513514296,pre
2026-01-21 10:00:00,NSPNM,379.80000000000007,323.528,3,N,0.8518378093733543,pre
2026-01-21 10:00:00,REGDN,429002.2,76559543.862,219,N,178.4595600255663,pre
2026-01-21 10:00:00,REGUP,572024.0,152513334.065,205,N,266.62051603604044,pre
2026-01-21 10:00:00,RRSFF,336.40000000000003,595799.6140000001,3,N,1771.1046789536267,pre
2026-01-21 10:00:00,RRSPF,687017.4,173399909.527,141,N,252.39522248927028,pre
2026-01-21 10:00:00,RRSUF,1617.3,3490.74,2,N,2.1583750695603783,pre
2026-01-21 11:00:00,ECRSM,307.29999999999995,1.702,2,N,0.005538561666124309,pre
2026-01-21 11:00:00,ECRSS,852531.7,129181210.152,127,N,151.52657684400475,pre
2026-01-21 11:00:00,NSPIN,884864.6,151720754.945,112,N,171.46211402851915,pre
2026-01-21 11:00:00,NSPNM,379.8,323.528,3,N,0.8518378093733544,pre
2026-01-21 11:00:00,REGDN,449754.5,79248178.358,194,N,176.2031916478879,pre
2026-01-21 11:00:00,REGUP,752619.4,106422964.04699999,208,N,141.40342920605022,pre
2026-01-21 11:00:00,RRSFF,603.1,828589.9060000001,4,N,1373.8847720112751,pre
2026-01-21 11:00:00,RRSPF,654261.6,99652374.59200001,113,N,152.31273636111305,pre
2026-01-21 11:00:00,RRSUF,1609.9,3474.83,2,N,2.1584135660600037,pre
2026-01-21 12:00:00,ECRSM,307.29999999999995,1.702,2,N,0.005538561666124309,pre
2026-01-21 12:00:00,ECRSS,976594.4,133848086.213,145,N,137.05596326683832,pre
2026-01-21 12:00:00,NSPIN,914240.1,154799786.05,112,N,169.3207135084099,pre
2026-01-21 12:00:00,NSPNM,379.80000000000007,321.896,3,N,0.8475408109531332,pre
2026-01-21 12:00:00,REGDN,257250.8,66460369.347,131,N,258.3485429277577,pre
2026-01-21 12:00:00,REGUP,625588.2,94444385.492,190,N,150.96893690130346,pre
2026-01-21 12:00:00,RRSFF,603.1,828588.939,4,N,1373.8831686287515,pre
2026-01-21 12:00:00,RRSPF,706086.9,104860544.13000001,117,N,148.50940320518623,pre
2026-01-21 12:00:00,RRSUF,1601.7,3457.2,2,N,2.1584566398201908,pre
2026-01-21 13:00:00,ECRSM,299.70000000000005,1.6640000000000001,2,N,0.005552218885552219,pre
2026-01-21 13:00:00,ECRSS,998088.0,137130742.514,146,N,137.3934387689262,pre
2026-01-21 13:00:00,NSPIN,904814.1,156952330.289,109,N,173.46362118914814,pre
2026-01-21 13:00:00,NSPNM,379.8,321.08000000000004,3,N,0.8453923117430228,pre
2026-01-21 13:00:00,REGDN,213743.1,65869702.089999996,106,N,308.172296977072,pre
2026-01-21 13:00:00,REGUP,585698.1,94011346.847,184,N,160.5116131450657,pre
2026-01-21 13:00:00,RRSFF,603.1,828588.939,4,N,1373.8831686287515,pre
2026-01-21 13:00:00,RRSPF,740456.0,108629647.223,123,N,146.70641769801313,pre
2026-01-21 13:00:00,RRSUF,1599.5,3452.47,2,N,2.158468271334792,pre
2026-01-21 14:00:00,ECRSM,307.29999999999995,1.702,2,N,0.005538561666124309,pre
2026-01-21 14:00:00,ECRSS,993325.7,144987602.356,144,N,145.96179516547292,pre
2026-01-21 14:00:00,NSPIN,957339.4,162847166.211,117,N,170.10390067618653,pre
2026-01-21 14:00:00,NSPNM,379.80000000000007,321.896,3,N,0.8475408109531332,pre
2026-01-21 14:00:00,REGDN,241014.8,67120683.86,121,N,278.4919592489756,pre
2026-01-21 14:00:00,REGUP,561074.2,93494528.527,181,N,166.6348738313043,pre
2026-01-21 14:00:00,RRSFF,603.1,828588.939,4,N,1373.8831686287515,pre
2026-01-21 14:00:00,RRSPF,710837.8,116226061.175,116,N,163.50574093696198,pre
2026-01-21 14:00:00,RRSUF,1646.3,3553.0899999999997,2,N,2.1582275405454654,pre
2026-01-21 15:00:00,ECRSM,299.70000000000005,1.6640000000000001,2,N,0.005552218885552219,pre
2026-01-21 15:00:00,ECRSS,1021113.1,140988884.271,148,N,138.07372001299368,pre
2026-01-21 15:00:00,NSPIN,936266.7,158523331.41799998,116,N,169.314289847113,pre
2026-01-21 15:00:00,NSPNM,379.8,323.528,3,N,0.8518378093733544,pre
2026-01-21 15:00:00,REGDN,189094.5,63920200.876,95,N,338.03310448479465,pre
2026-01-21 15:00:00,REGUP,529536.3,92120320.035,178,N,173.9641267935739,pre
2026-01-21 15:00:00,RRSFF,603.1,828588.939,4,N,1373.8831686287515,pre
2026-01-21 15:00:00,RRSPF,743154.4,109774732.513,124,N,147.7145698296343,pre
2026-01-21 15:00:00,RRSUF,1722.7,3717.35,2,N,2.1578626574563184,pre
2026-01-21 16:00:00,ECRSM,303.5,1.683,2,N,0.005545304777594728,pre
2026-01-21 16:00:00,ECRSS,1121654.2,145113965.98900002,159,N,129.37495886789353,pre
2026-01-21 16:00:00,NSPIN,1142278.0,163363432.722,141,N,143.0154767245802,pre
2026-01-21 16:00:00,NSPNM,379.80000000000007,323.528,3,N,0.8518378093733543,pre
2026-01-21 16:00:00,REGDN,191552.2,68933907.602,116,N,359.8700907742119,pre
2026-01-21 16:00:00,REGUP,543421.1,90925462.961,202,N,167.3204499438833,pre
2026-01-21 16:00:00,RRSFF,463.1,548782.339,4,N,1185.0190865903692,pre
2026-01-21 16:00:00,RRSPF,869831.9,116409089.381,144,N,133.829409315754,pre
2026-01-21 16:00:00,RRSUF,1722.1,3716.06,2,N,2.157865396899135,pre
2026-01-21 17:00:00,ECRSM,303.5,1.683,2,N,0.005545304777594728,pre
2026-01-21 17:00:00,ECRSS,1349668.9,154306946.935,212,N,114.32948253827291,pre
2026-01-21 17:00:00,NSPIN,1496049.7,182429860.578,190,N,121.94104285305495,pre
2026-01-21 17:00:00,NSPNM,379.80000000000007,325.16,3,N,0.8561348077935754,pre
2026-01-21 17:00:00,REGDN,551704.6,91412660.877,192,N,165.69131538326852,pre
2026-01-21 17:00:00,REGUP,793317.2,100114859.183,217,N,126.19776702559834,pre
2026-01-21 17:00:00,RRSFF,463.1,548791.042,4,N,1185.0378795076656,pre
2026-01-21 17:00:00,RRSPF,1466028.7,147815413.454,214,N,100.82709394024823,pre
2026-01-21 17:00:00,RRSUF,1730.1,3733.26,2,N,2.15782902722386,pre
2026-01-21 18:00:00,ECRSM,293.70000000000005,1.6340000000000001,2,N,0.0055635001702417424,pre
2026-01-21 18:00:00,ECRSS,1989228.7,177259774.665,297,N,89.1098015351377,pre
2026-01-21 18:00:00,NSPIN,1556865.3,181739444.164,190,N,116.73421211456123,pre
2026-01-21 18:00:00,NSPNM,685.0,3856.592,5,N,5.630061313868613,pre
2026-01-21 18:00:00,REGDN,1323999.4,150181771.41799998,306,N,113.43039235365212,pre
2026-01-21 18:00:00,REGUP,1144045.7,115898834.627,302,N,101.30612319682685,pre
2026-01-21 18:00:00,RRSFF,463.1,548799.745,4,N,1185.0566724249622,pre
